ID,Ileum 5HT,Ileum 5HIAA-5HT ratio,Colon 5HT,Colon 5HIAA-5HT ratio,MLN - Treg,MLN - Treg - Helios negative,Blood - Treg,Blood - Inflammatory monocytes,Blood - Neutrophils,Cecum|Akkermansia_muciniphila,Cecum|Alistipes_unclassified,Cecum|Anaerotruncus_unclassified,Cecum|Bacteroides_uniformis,Cecum|Bacteroides_vulgatus,Cecum|Bacteroides_xylanisolvens,Cecum|Bifidobacterium_longum,Cecum|Bifidobacterium_pseudolongum,Cecum|C2likevirus_unclassified,Cecum|Dorea_unclassified,Cecum|Eubacterium_plexicaudatum,Cecum|Lachnospiraceae_bacterium_3_1_46FAA,Cecum|Lactobacillus_animalis,Cecum|Lactobacillus_johnsonii,Cecum|Lactobacillus_murinus,Cecum|Lactobacillus_reuteri,Cecum|Mucispirillum_schaedleri,Cecum|Odoribacter_unclassified,Cecum|Parabacteroides_distasonis,Cecum|Parabacteroides_goldsteinii,Cecum|Parabacteroides_unclassified,Cecum|Propionibacterium_acnes,Cecum|Subdoligranulum_unclassified,Ileum|Akkermansia_muciniphila,Ileum|Bifidobacterium_longum,Ileum|Bifidobacterium_pseudolongum,Ileum|Candidatus_Arthromitus_unclassified,Ileum|Enterococcus_hirae,Ileum|Enterorhabdus_caecimuris,Ileum|Escherichia_unclassified,Ileum|Lactobacillus_animalis,Ileum|Lactobacillus_johnsonii,Ileum|Lactobacillus_murinus,Ileum|Lactobacillus_reuteri,Ileum|Mucispirillum_schaedleri,Ileum|Propionibacterium_acnes,Faeces|Akkermansia_muciniphila,Faeces|Alistipes_unclassified,Faeces|Anaerotruncus_unclassified,Faeces|Bacillus_amyloliquefaciens,Faeces|Bacteroides_dorei,Faeces|Bacteroides_intestinalis,Faeces|Bacteroides_ovatus,Faeces|Bacteroides_uniformis,Faeces|Bacteroides_vulgatus,Faeces|Bacteroides_xylanisolvens,Faeces|Bifidobacterium_pseudolongum,Faeces|Candidatus_Arthromitus_unclassified,Faeces|Dorea_unclassified,Faeces|Eubacterium_plexicaudatum,Faeces|Lachnospiraceae_bacterium_3_1_46FAA,Faeces|Lactobacillus_animalis,Faeces|Lactobacillus_johnsonii,Faeces|Lactobacillus_murinus,Faeces|Lactobacillus_reuteri,Faeces|Mucispirillum_schaedleri,Faeces|Odoribacter_unclassified,Faeces|Parabacteroides_distasonis,Faeces|Parabacteroides_goldsteinii,Faeces|Parabacteroides_unclassified,Faeces|Propionibacterium_acnes,Faeces|Ralstonia_unclassified,Faeces|Ruminococcus_torques,Faeces|Subdoligranulum_unclassified
Milk_1,2.077331,2.178952,5.650258,0.725316,5.611543747,4.466330738,0.84916908,2.563201197,3.187733732,32.31376,0,2.37971,0,0,0,0,6.75231,0,0.66173,0.33739,0.09012,0,11.72834,2.17867,0.13706,43.42091,0,0,0,0,0,0,52.17303,1.56862,22.43537,1.48805,0,0,0,0,13.49704,7.00999,1.8279,0,0,60.76639,0.09175,0,0.2079,0,0,0,1.65262,0,0,12.85159,0,0.27145,0,0,0,12.36291,3.80954,0.16656,2.78856,0.81236,0,0,2.58569,0.28272,0,0,0
Milk_2,1.305016,1.741728,6.744775,0.756116,4.818356041,3.095644525,0.907013961,2.707546206,2.354743184,59.8457,0,0,0,0,0,0,7.76802,0,0,0,0,0,4.3813,3.46272,1.97119,22.57107,0,0,0,0,0,0,40.78194,0,43.44562,0.7338,0,0,0,0,7.27324,4.98588,2.77952,0,0,59.07401,0,2.24671,1.84835,0,0,0,0.03604,0,0,4.29066,0,0,0,0.97696,0,3.51642,3.83445,0.17586,21.16226,2.33506,0,0,0.17407,0.32916,0,0,0
Milk_3,1.993479,1.492447,6.909886,0.466476,5.704915222,3.621358599,,3.815069899,5.32877914,59.93208,0,2.13734,0,0,0,0,9.00785,0,0,0,1.01511,0,4.50116,4.84236,1.55944,14.72851,0.41471,0,0,0,0,0,73.90704,0,20.36015,0.23782,0,0.18047,0,0,2.65218,1.69121,0.85489,0.11624,0,66.08747,0.2202,0.67068,0.48307,0,0,0,0.46021,0,0.23366,15.00876,0,0.12835,0,0.42798,0.04438,2.85145,10.46588,0.28865,0.97252,0.55336,0,0,0.32457,0.21259,0,0,0
Milk_4,0.762213,2.322908,11.00074,0.579878,5.087853483,3.233343462,0.706661759,3.228185445,4.105795984,49.3014,1.34567,0,0,0,0,6.01046,6.08269,0,0.29906,0,0,0,3.91724,5.07471,2.81574,24.29781,0.85522,0,0,0,0,0,62.19297,0,24.04623,0.04909,0,0,0,0,4.26177,6.48252,2.96743,0,0,62.73402,0.74851,0,0.5054,0,0,0,0.38627,0,0.34392,19.28645,0.25364,0.15172,0,0.02119,0,2.15022,10.0809,1.20888,0.21542,0.88446,0,0,0.56871,0.21068,0,0,0
Milk_5,1.5561,1.597901,10.70446,0.689973,5.15813681,3.219572764,0.699661851,3.56093548,8.552289173,0,0,0,0,0,0,0,16.66966,0,0,0.6067,0,0,0,8.69182,0,72.39,0,0,0,1.64183,0,0,0.0428,0,74.53546,2.65446,0,0,1.77122,0.2707,0,17.11244,3.61291,0,0,1.26961,0.33147,0,0,0,0,0,2.78882,0.07912,0.94907,59.12862,0,0.49432,0,0,0.33744,0,17.0784,4.25051,0.3262,4.12353,0.09282,1.89438,6.85568,0,0,0,0
Milk_6,,1.01661,11.29454,0.477654,4.189944134,2.454953183,0.50314908,5.585176228,4.943293208,0,0.42779,0,0,0,0,0,2.27312,0,4.4204,0.21757,7.47038,0,0,9.53611,1.66641,70.34689,3.64134,0,0,0,0,0,0,0,46.905,13.49832,0.15313,0.07512,0,0.51688,0,26.53493,12.31662,0,0,0,1.63939,0,0,0,0,0,7.8026,0,2.3022,10.95305,1.28551,0.30035,0,2.3467,0,0,29.45118,3.16706,3.91644,9.05493,1.51765,5.28342,17.66763,0,0,0,3.31189
Milk_7,1.675378,0.811907,7.773535,0.633209,4.915744341,3.122195633,0.632424419,5.359054496,6.670259008,0,0,0,0,0,0,0,13.44943,0,0,0.37333,1.39778,0,0,25.49066,14.38523,44.90357,0,0,0,0,0,0,0.11254,0,68.89117,8.04086,0,0,0,0.40973,0,14.89918,7.64651,0,0,0,0.24345,0,0,0,0,0,0.96987,2.88915,0.59772,19.18145,0.08517,0.54304,0.06291,1.61685,1.42781,0,60.74236,4.34396,0.65298,0,0.53054,0.73286,5.37988,0,0,0,0
Milk_8,1.294297,1.020692,11.04346,0.513032,4.406538735,2.560891687,0.452104387,3.463838028,9.774970461,0,0.48248,0,0,0,0,0,16.99364,0,2.26937,0,0,0,0,10.16284,1.07045,63.51813,3.13351,0,0,2.36958,0,0,0,0,64.85587,4.87515,0,0,0,0,0,20.94015,4.74259,0,0,0.94487,0.80975,0,0,0,0,0,2.43842,0,0.8951,63.72444,0.39791,0.52624,0,0,0,0,14.20518,4.25831,2.27578,3.6061,0,0,5.33764,0,0,0,0.58027
Milk_9,1.202102,1.217907,10.48151,0.989213,4.931175472,2.485281764,0.286459362,2.544500315,3.437919501,16.79763,0.44705,8.99423,0,0,0,0,25.38958,0,1.30518,0,0,0,0,0,0,25.30051,21.76583,0,0,0,0,0,0,0,78.33542,3.85418,0,0,0,0,5.2063,7.0738,5.53031,0,0,23.8531,1.16842,0,0,0,0,0,0.09962,0,0.82334,36.12767,0.76887,0,0,0,0,3.94767,8.96727,4.34705,11.05236,8.84466,0,0,0,0,0,0,0
Milk_10,1.045828,1.912296,11.27277,0.474091,4.848447785,2.453411315,0.275500756,3.47460268,6.703022749,2.62048,0,14.94154,3.97712,0,0,0.12037,12.54982,0,0,0,0,0,0.73915,0,0,63.47857,0,0,0,0,0,1.57295,0.76256,0,57.47127,13.37005,0,0,0,0,9.88824,14.51861,3.49901,0,0.49025,17.47724,0.04177,0,0,0,0,0,10.01098,0.29783,1.46041,43.82872,2.9888,0,0,0,0,9.08178,3.71574,5.45182,0.58718,0,0.03542,1.19029,3.83202,0,0,0,0
Milk_11,2.795281,0.821922,11.90908,0.666172,4.904279747,2.464934849,0.216804266,8.598667608,3.07668507,0,0,0,0,0,0,3.03065,10.36946,0,2.12432,0.3737,0,0,0,0.82307,0,79.32755,3.95125,0,0,0,0,0,0.39746,0,75.42824,0,0,0,0,0,8.94828,15.22602,0,0,0,0.71264,0.24181,0,0,0,0,0,2.40055,0,0.62383,16.58128,0,0.12255,0.02106,0,0,2.75001,6.9868,0,66.173,1.29257,0,0,2.09389,0,0,0,0
Milk_12,1.875054,0.783908,8.670323,0.713433,3.940426239,1.972636506,0.191371863,5.898465043,2.466507566,1.60068,1.41562,6.01151,0,0,0,0.36537,23.67856,0,0.43385,0.37565,0,0,1.85981,0,0,58.99397,0,0,0,0,0,0,2.12546,0,92.297,3.74684,0,0,0,0,1.8307,0,0,0,0,7.97769,1.87426,0,0,0,0,0.03591,1.48707,0,2.62234,41.36832,0,0.88455,0,0,0,8.47264,4.1069,2.81008,13.33236,15.02788,0,0,0,0,0,0,0
UK4_13,2.650052,0.921081,14.38957,0.538719,4.815322666,2.802578596,0.517743727,7.087942842,10.82493744,0,0.32277,6.72836,0,0,0,0.25014,8.791,0,1.4696,0,0,0,0,31.4606,0,49.66467,1.31285,0,0,0,0,0,2.7016,0,35.58293,0.82097,0.03353,0.04365,0,0.37954,0,55.98652,4.20778,0,0,2.42803,0.04481,2.36287,0,0,0,0,0.64331,0,0.1327,11.38873,0,0.79465,0,0,0.54526,0,72.71827,3.21284,4.23635,1.49219,0,0,0,0,0,0,0
