metabolite	SFD_1	SFD_2	SFD_3	SFD_4	SFD_5	SFD_6	SFD_7	SFD_8	SFD_9	SFD_10	HFD_1	HFD_2	HFD_3	HFD_4	HFD_5	HFD_6	HFD_7	HFD_8	HFD_9	HFD_10
aminobenzoic acid	244043089.5	247287427.2	285105839	185802078.2	228000607.9	193771902.6	139790642.8	123562455.7	345580079.7	71716124.92	2683418.308	901125.794	5012249.758	1677513.929	1542827.626	556290.89	1037170.945	1146037.007	400127.005	1305155.002
Ocatadecanoyl-carnitine	691151.593	1515049.542	1577872.005	1101165.574	1910286.984	1024685.624	936181.267	1129657.988	326410.76	1632289.949	8034401.412	3138025.507	7158437.797	6304088.043	7363478.999	3762791.367	5939624.166	3570668.692	7229293.928	3282550.959
Palmitoyl-carnitine	5921058.684	7377833.191	11068335.83	8490687.983	12292710.78	10006917.11	10960945.74	14629808.99	5811791.475	17566981.41	19398186.26	14428675.06	19835424.76	19425499.04	15910073.11	13273379.66	18097016.19	15527225.7	21258690.1	13204991.71
4-pyridoxate	7560434.58	12254406.55	11310996.61	8630332.296	17365065.11	13768467.95	16486995.52	19439114.11	24630524.64	7949112.771	7184399.606	2524022.523	10719742.96	5848295.212	6218517.743	6253282.756	7456677.32	7399270.818	11459111.9	10472212.29
Acetoacetate	719717646.9	614143378.3	1277201775	1204418044	805543666.8	956424223.7	1016943245	862607745.1	1183017166	901994740.9	1526489392	783161329.3	1453070996	1623219689	1470256251	1286064493	1209326801	1365413648	1617793704	1626416872
acetyltyrosine	1000100.755	678694.377	920547.38	824663.518	1141175.021	979439.807	742716.916	1170696.522	1451207.49	1749526.848	2267289.84	3321504.341	1750312.993	2808109.16	1353080.015	5758596.289	1117272.035	2617328.521	3068416.754	2311657.043
allantoin	164669247.9	281549064.6	493088947.6	324053389.6	298853688.5	275807836.7	374479966.1	282341099.1	457515864.3	402838813.1	247469272.9	97879936.26	262864072.1	273126820.9	230835543.9	159147735.3	217701350.2	241611719.9	280592347.4	290524404
Asparagine	64335839.89	32304219.17	41405922.72	33081202.75	50701109.23	50535326.64	42837050.51	41292607.99	35697488.09	129680990.3	57366271.55	153740465.1	66700360.27	76855398.5	81408657.34	138142366.2	73492689.88	58952892.66	81975502.13	64599415.87
Betaine	1114686452	884751389.2	1735432559	1749066659	1193560238	1100314070	1482470396	896737007.4	1439106043	1483909166	2048138736	1306732089	1877454394	2457783633	1810158994	2443608958	1288818690	1920919021	3020466984	2724492891
D-Glucose	2268472091	2383722752	3781564053	3711808193	2689507643	3439948369	3452425353	2987791283	3881479168	3138381407	4507464995	2842899955	4553112425	4789684537	4662843907	3911545118	4028537831	4324807216	4305961607	4582313079
fructose/galactose/glucose	2634049768	2836676405	4684445654	4472763603	3118943480	4045448447	4153075613	3538778616	4539120895	3613660900	5101599440	3096983870	5189297481	5558787221	5263757024	4350874431	4401993691	4843553822	5356617702	5221860186
gluconic acid	363168219.2	173385715.3	317301710.5	263020498.9	302107693.9	307247010.6	324642426.2	339989145.7	365557230.2	181304581	133749315.7	94533529.16	139730333.5	149961607	125471547.4	82555132.01	142012718.6	120338520.8	201067342.6	147008125
hippurate	35446638.76	140702906.8	286637484.9	161457626.1	53447569.88	110112369.6	174856623.7	65745608.4	151917773.4	55510286.53	19986649.99	1172519.091	18038264.87	14387768.23	9493140.372	10830366.7	4599192.462	12493003.19	14514597.88	17309726.67
Homoserine	402131966.2	185673444.9	276853561.6	251949355	294833474.8	282606748.9	280625749.5	223257944.6	247064627.4	310217941	413037527.2	375124536.2	424002743.4	503054323.3	439152224.6	366268835.7	422160052.3	417430852	590413167.8	472283523.2
