figure	panel	immune_marker	sex	Day -1	Day 14	Day 56	Day 90
Figure 2	Figure 2B	CD14	F	35167	20715	29447	32721
Figure 2	Figure 2B	CD14	F	31114	17085	30450	25641
Figure 2	Figure 2B	CD14	M	29236	22289	31114	29944
Figure 2	Figure 2B	CD14	M	27150	20764	25217	24450
Figure 2	Figure 2B	CD14	F	31114	32099	29377	33597
Figure 2	Figure 2B	CD14	F	31945	28958	28207	23206
Figure 2	Figure 2B	CD14	M	32022	19256	26259	25398
Figure 2	Figure 2B	CD14	M	34998	23708	28139	18633
Figure 2	Figure 2B	CD14	F	24683	19714	25038	25097
Figure 2	Figure 2B	CD14	F	29337	18720	29167	30016
Figure 2	Figure 2C	CD14<sup>+</sup>	F	406640	3348800	4894400	5678000
Figure 2	Figure 2C	CD14<sup>+</sup>	F	89100	1124800	2367000	2146250
Figure 2	Figure 2C	CD14<sup>+</sup>	M	151200	2208800	2835000	2444350
Figure 2	Figure 2C	CD14<sup>+</sup>	M	372350	1362000	1349000	1706400
Figure 2	Figure 2C	CD14<sup>+</sup>	F	2745600	3287900	2574000	4440300
Figure 2	Figure 2C	CD14<sup>+</sup>	F	1387520	2554200	2793000	1096800
Figure 2	Figure 2C	CD14<sup>+</sup>	M	96600	836400	1712160	1854000
Figure 2	Figure 2C	CD14<sup>+</sup>	M	473800	804600	1006300	488000
Figure 2	Figure 2C	CD14<sup>+</sup>	F	527800	972300	1660800	2083200
Figure 2	Figure 2C	CD14<sup>+</sup>	F	201600	1474300	2094750	3921600
Figure 2	Figure 2D	CD14<sup>+</sup>	F	1.78	15.08	15.99	13.52
Figure 2	Figure 2D	CD14<sup>+</sup>	F	0.6	3.58	13.3	4.13
Figure 2	Figure 2D	CD14<sup>+</sup>	M	2.91	14.53	21.81	14.55
Figure 2	Figure 2D	CD14<sup>+</sup>	M	3.39	8.25	10.54	3.39
Figure 2	Figure 2D	CD14<sup>+</sup>	F	10.56	22.22	11.39	11.94
Figure 2	Figure 2D	CD14<sup>+</sup>	F	2.17	26.89	5.65	3.19
Figure 2	Figure 2D	CD14<sup>+</sup>	M	0.71	5.29	10.7	6.53
Figure 2	Figure 2D	CD14<sup>+</sup>	M	2.82	7.89	8.39	2.6
Figure 2	Figure 2D	CD14<sup>+</sup>	F	3.57	7.97	12.03	23.67
Figure 2	Figure 2D	CD14<sup>+</sup>	F	1.63	8.1	14.96	19.81
Figure 2	Figure 2E	CD14<sup>+</sup> CD16<sup>+</sup>	F	54080	405600	1026000	599530
Figure 2	Figure 2E	CD14<sup>+</sup> CD16<sup>+</sup>	F	17820	189430	534000	701250
Figure 2	Figure 2E	CD14<sup>+</sup> CD16<sup>+</sup>	M	21960	239800	517500	514600
Figure 2	Figure 2E	CD14<sup>+</sup> CD16<sup>+</sup>	M	44000	176700	298300	246240
Figure 2	Figure 2E	CD14<sup>+</sup> CD16<sup>+</sup>	F	195000	403760	300625	324105
Figure 2	Figure 2E	CD14<sup>+</sup> CD16<sup>+</sup>	F	232960	174960	479750	295200
Figure 2	Figure 2E	CD14<sup>+</sup> CD16<sup>+</sup>	M	9200	67830	131312	211500
Figure 2	Figure 2E	CD14<sup>+</sup> CD16<sup>+</sup>	M	81880	60660	205900	103000
Figure 2	Figure 2E	CD14<sup>+</sup> CD16<sup>+</sup>	F	20280	80220	198480	196230
Figure 2	Figure 2E	CD14<sup>+</sup> CD16<sup>+</sup>	F	32220	177330	362250	792300
Figure 2	Figure 2F	CD14<sup>+</sup> CD16<sup>+</sup>	F	0.24	1.83	3.35	1.43
Figure 2	Figure 2F	CD14<sup>+</sup> CD16<sup>+</sup>	F	0.12	0.6	3	1.35
Figure 2	Figure 2F	CD14<sup>+</sup> CD16<sup>+</sup>	M	0.42	1.58	3.98	3.06
Figure 2	Figure 2F	CD14<sup>+</sup> CD16<sup>+</sup>	M	0.4	1.07	2.33	0.49
Figure 2	Figure 2F	CD14<sup>+</sup> CD16<sup>+</sup>	F	0.75	2.73	1.33	0.87
Figure 2	Figure 2F	CD14<sup>+</sup> CD16<sup>+</sup>	F	0.36	1.84	0.97	0.86
Figure 2	Figure 2F	CD14<sup>+</sup> CD16<sup>+</sup>	M	0.07	0.43	0.82	0.74
Figure 2	Figure 2F	CD14<sup>+</sup> CD16<sup>+</sup>	M	0.49	0.59	1.72	0.55
Figure 2	Figure 2F	CD14<sup>+</sup> CD16<sup>+</sup>	F	0.14	0.66	1.44	2.23
Figure 2	Figure 2F	CD14<sup>+</sup> CD16<sup>+</sup>	F	0.26	0.97	2.59	4
Figure 3	Figure 3A	HLA-DR	F	2863.3	3429.3	5913.484	7253
Figure 3	Figure 3A	HLA-DR	F	1720.3	2051.3	3018.484	5018
Figure 3	Figure 3A	HLA-DR	M	2156.3	4219.3	6658.484	7579
Figure 3	Figure 3A	HLA-DR	M	3245.3	6057.3	6343.484	6404
Figure 3	Figure 3A	HLA-DR	F	1142.3	4346.3	2634.484	4453
Figure 3	Figure 3A	HLA-DR	F	2099.3	5710.3	2368.484	2728
Figure 3	Figure 3A	HLA-DR	M	1253.3	1429.3	1345.484	2040
Figure 3	Figure 3A	HLA-DR	M	2747.3	3943.3	3711.484	2087
Figure 3	Figure 3A	HLA-DR	F	2420.3	4897.3	6071.484	6173
Figure 3	Figure 3A	HLA-DR	F	2120.3	2270.3	4793.484	8411
Figure 3	Figure 3B	CD40	F	212	2434	1359	1517
Figure 3	Figure 3B	CD40	F	1201	2809	5498	5058
Figure 3	Figure 3B	CD40	M	365	2001	3800	4256
Figure 3	Figure 3B	CD40	M	236	2902	3263	3419
Figure 3	Figure 3B	CD40	F	218	3336	2093	2549
Figure 3	Figure 3B	CD40	F	507	2863	3057	4322
Figure 3	Figure 3B	CD40	M	338	2175	2398	2983
Figure 3	Figure 3B	CD40	M	509	3309	6493	4608
Figure 3	Figure 3B	CD40	F	266	3318	5159	4785
Figure 3	Figure 3B	CD40	F	321	3555	2840	5902
Figure 3	Figure 3C	CD80	F	8027	11451.15	14343	9974
Figure 3	Figure 3C	CD80	F	3708	7830.15	20369	12046
Figure 3	Figure 3C	CD80	M	6851	10550.15	23200	15135
Figure 3	Figure 3C	CD80	M	5989	9703.15	15666	12325
Figure 3	Figure 3C	CD80	F	7939	14412.15	17039	11273
Figure 3	Figure 3C	CD80	F	7253	11823.15	21814	12438
Figure 3	Figure 3C	CD80	M	8392	12152.15	20856	14926
Figure 3	Figure 3C	CD80	M	8873	9466.15	16724	8913
Figure 3	Figure 3C	CD80	F	7142	11116.15	15449	14316
Figure 3	Figure 3C	CD80	F	6213	9091.15	15059	13892
Figure 3	Figure 3D	CD86	F	3171	2584	3093	2574
Figure 3	Figure 3D	CD86	F	2645	2349	3545	3128
Figure 3	Figure 3D	CD86	M	1791	2661	3634	3782
Figure 3	Figure 3D	CD86	M	1245	2053	2278	2451
Figure 3	Figure 3D	CD86	F	1054	3133	2135	1834
Figure 3	Figure 3D	CD86	F	2238	4013	2822	2765
Figure 3	Figure 3D	CD86	M	2889	2159	3242	2748
Figure 3	Figure 3D	CD86	M	3212	2234	4075	1932
Figure 3	Figure 3D	CD86	F	1627	2692	4961	2875
Figure 3	Figure 3D	CD86	F	2068	2254	2319	3001
Figure 4	Figure 4B	GPI	F	1	1.8162	NA	0.9853
Figure 4	Figure 4B	GPI	F	1	0.94	1.2	0.21
Figure 4	Figure 4B	GPI	M	1	1.52	1.23	0.31
Figure 4	Figure 4B	GPI	F	1	1.08	0.83	0.81
Figure 4	Figure 4B	GPI	F	1	2.89	1.56	1.12
Figure 4	Figure 4B	GPI	M	1	1.73	1.45	0.85
Figure 4	Figure 4B	GPI	F	NA	NA	NA	NA
Figure 4	Figure 4B	GPI	F	1	1.25	1.68	0.52
Figure 4	Figure 4C	PFKB3	F	1	3.2789	NA	2.1541
Figure 4	Figure 4C	PFKB3	F	1	9.78	4.18	1.52
Figure 4	Figure 4C	PFKB3	M	1	3.02	1.5	0.56
Figure 4	Figure 4C	PFKB3	F	1	3.63	3.7	2.4
Figure 4	Figure 4C	PFKB3	F	1	10.65	4.11	4.03
Figure 4	Figure 4C	PFKB3	M	1	12.19	3.92	4.27
Figure 4	Figure 4C	PFKB3	F	1	10.51	12.85	5.08
Figure 4	Figure 4C	PFKB3	F	1	3.5	2.45	1.24
Figure 4	Figure 4D	GAPDH	F	1	2.136	NA	1.4588
Figure 4	Figure 4D	GAPDH	F	1	1.65	1.69	0.64
Figure 4	Figure 4D	GAPDH	M	1	1.76	1.97	0.5
Figure 4	Figure 4D	GAPDH	F	1	1.48	1.12	0.95
Figure 4	Figure 4D	GAPDH	F	1	6.19	2.65	2.16
Figure 4	Figure 4D	GAPDH	M	1	2.65	1.77	1.28
Figure 4	Figure 4D	GAPDH	F	1	2.65	4.43	1.58
Figure 4	Figure 4D	GAPDH	F	1	1.34	1.35	0.57
Figure 4	Figure 4E	PKM2	F	1	2.5146	NA	1.2064
Figure 4	Figure 4E	PKM2	F	1	1.27	1.62	0.56
Figure 4	Figure 4E	PKM2	M	1	1.63	1.48	0.46
Figure 4	Figure 4E	PKM2	F	1	1.31	0.95	1.07
Figure 4	Figure 4E	PKM2	F	1	3.06	1.57	0.95
Figure 4	Figure 4E	PKM2	M	1	2.12	1.96	1.13
