id	relab	mfi
Milk_1	22.43537	3.187733732
Milk_2	43.44562	2.354743184
Milk_3	20.36015	5.32877914
Milk_4	24.04623	4.105795984
Milk_5	74.53546	8.552289173
Milk_6	46.905	4.943293208
Milk_7	68.89117	6.670259008
Milk_8	64.85587	9.774970461
Milk_9	78.33542	3.437919501
Milk_10	57.47127	6.703022749
Milk_11	75.42824	3.07668507
Milk_12	92.297	2.466507566
UK4_13	35.58293	10.82493744
UK4_14	61.56681	8.74037751
UK4_15	55.42366	12.5378595
UK4_16	54.22917	8.881996519
UK4_17	71.38072	3.571271882
UK4_18	71.68414	1.709959444
UK4_19	76.50369	3.731819588
UK4_20	84.54047	4.569299407
UK4_21	87.60167	0.499193278
UK4_22	70.21137	0.715817451
UK4_23	55.86184	3.891413373
UK4_24	94.75744	1.569417476
Fr1_25	35.22172	6.77452322
Fr1_26	80.57828	3.213894292
Fr1_27	79.19435	3.275471855
Fr1_28	89.66402	2.469742404
Fr1_29	74.56182	0.369864262
Fr1_30	69.65231	2.630985547
Fr1_31	88.61472	0.646234953
Fr1_32	77.36782	0.559946909
Fr1_33	51.00097	2.096115115
Fr1_34	77.30844	1.343713637
Fr1_35	82.7102	1.033117512
Fr1_36	70.46158	0.38996308
